,year,name,variant,price,emi,driven_km,fuel,transmission,registration,location,city
271,2015,Maruti Wagon R 1.0,VXI AMT,252999.99999999997,6662.0,24075,Petrol,,MH-47,"Regency Anantam, Dombivli East",Mumbai
272,2019,Maruti Celerio,VXI (O) CNG,327000.0,6401.0,69614,CNG,Manual,MH-04,Near Belapur Dmart,Mumbai
273,2016,Tata Tiago,XZ PETROL,304000.0,6762.0,39177,Petrol,Manual,MH-05,"Goregaon, Mumbai",Mumbai
274,2016,Tata Tiago,XZ PETROL,278000.0,6185.0,39439,Petrol,Manual,MH-47,"Regency Anantam, Dombivli East",Mumbai
275,2016,Volkswagen Polo,COMFORTLINE 1.2L,266000.0,5924.0,74052,Petrol,Manual,MH-47,"Regency Anantam, Dombivli East",Mumbai
276,2015,Hyundai Grand i10,ASTA AT 1.2 KAPPA VTVT,285000.0,7505.0,45030,Petrol,,MH-43,Thakur Village Kandivali E Mumbai,Mumbai
277,2015,Honda City,1.5L I-VTEC VX CVT,380000.0,10017.0,78449,Petrol,,MH-05,"Regency Anantam, Dombivli East",Mumbai
278,2022,KIA SONET,HTX 1.0 IMT,634000.0,11188.0,54188,Petrol,Manual,MH-12,"Korum Mall, Thane West",Mumbai
279,2017,Hyundai Creta,SX PLUS AT 1.6 PETROL,523000.00000000006,10229.0,67298,Petrol,,MH-47,"Korum Mall, Thane West",Mumbai
280,2021,Skoda KUSHAQ,STYLE 1.0L TSI MT,977999.9999999999,16737.0,84898,Petrol,Manual,MH-48,"Regency Anantam, Dombivli East",Mumbai
281,2022,Skoda KUSHAQ,AMBITION 1.0L TSI MT,893000.0,15295.0,23042,Petrol,Manual,MH-47,"Regency Anantam, Dombivli East",Mumbai
282,2022,Mahindra XUV700,AX 7 D MT 7 STR,1651000.0000000002,28269.0,71632,Diesel,Manual,MH-43,Near Belapur Dmart,Mumbai
283,2016,Toyota Corolla Altis,J DIESEL,500000.0,13167.0,101145,Diesel,Manual,MH-04,Thakur Village Kandivali E Mumbai,Mumbai
284,2016,Maruti Wagon R 1.0,LXI CNG,263000.0,8745.0,84883,CNG,Manual,MH-01,Near Belapur Dmart,Mumbai
285,2017,Renault Duster,110 PS RXZ DIESEL,382000.0,8502.0,114955,Diesel,Manual,MH-48,"Korum Mall, Thane West",Mumbai
286,2014,Ford Ecosport,TITANIUM 1.0L ECOBOOST,315000.0,10477.0,22540,Petrol,Manual,MH-01,Thakur Village Kandivali E Mumbai,Mumbai
287,2018,Jeep Compass,SPORT 1.4 PETROL,513999.99999999994,9069.0,55878,Petrol,Manual,MH-47,Near Belapur Dmart,Mumbai
288,2018,Jeep Compass,LIMITED 2.0 DIESEL,610000.0,13569.0,108950,Diesel,Manual,MH-15,Near Belapur Dmart,Mumbai
289,2021,MG HECTOR,SHARP 1.5 PETROL CVT,790000.0,13953.0,89511,Petrol,,MH-43,"Korum Mall, Thane West",Mumbai
290,2018,Maruti Ertiga,VXI CNG,544000.0,12108.0,63031,CNG,Manual,MH-02,"Goregaon, Mumbai",Mumbai
291,2017,Maruti Ertiga,VXI CNG,495000.0,13035.0,101588,CNG,Manual,MH-48,"Korum Mall, Thane West",Mumbai
292,2021,Honda City,1.5L I-VTEC V MT 4TH GEN,613000.0,10815.0,28512,Petrol,Manual,MH-02,"Regency Anantam, Dombivli East",Mumbai
293,2013,Maruti Ertiga,VXI CNG,326000.0,,102611,CNG,Manual,MH-01,"Regency Anantam, Dombivli East",Mumbai
294,2016,Honda City,1.5L I-VTEC SV CVT,360000.0,8008.0,77959,Petrol,,MH-02,Thakur Village Kandivali E Mumbai,Mumbai
295,2015,Maruti Wagon R 1.0,LXI CNG,231999.99999999997,10912.0,85882,CNG,Manual,MH-01,"Goregaon, Mumbai",Mumbai
296,2014,Hyundai Grand i10,ASTA AT 1.2 KAPPA VTVT,263000.0,8727.0,56651,Petrol,,MH-02,"Korum Mall, Thane West",Mumbai
297,2016,Maruti Celerio,ZXI,272000.0,9038.0,56846,CNG,Manual,MH-05,"Goregaon, Mumbai",Mumbai
298,2019,Renault Kwid,RXT 0.8,227999.99999999997,4033.0,44233,Petrol,Manual,MH-03,Near Belapur Dmart,Mumbai
299,2016,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,259000.0,5770.0,27590,Petrol,Manual,MH-01,Thakur Village Kandivali E Mumbai,Mumbai
300,2022,Tata Tiago,XZ PLUS PETROL,438000.0,7732.0,32379,Petrol,Manual,MH-03,Near Belapur Dmart,Mumbai
301,2019,Hyundai GRAND I10 NIOS,MAGNA U2 1.2 CRDI,399000.0,7049.0,73317,Diesel,Manual,MH-15,Thakur Village Kandivali E Mumbai,Mumbai
302,2018,Hyundai Creta,SX AT 1.6 PETROL,735000.0,12968.0,39125,Petrol,,MH-02,Near Belapur Dmart,Mumbai
303,2016,Toyota Camry,HYBRID,758000.0,16850.0,100696,Hybrid,,MH-01,"Regency Anantam, Dombivli East",Mumbai
